View_Detail,Federal_Fiscal_Year,Region,State_Code,NEP_Name,Project_Name,Project_Description,Habitat_Description,Habitat_Type,Restoration_Technique,Donated_Land,Data_Unavailable,EPA_Section_320,Total_Project_Cost,Project_Benefits,Activity_Name,Lead_Implementer,Partners,Main_Funding_Source,Site_Owner,Last_Updated_Date,NEP_Comments,HQ_Comments,HQ_Status,Region_Status,Total_Cost,Author,Submitter_Email,PrimaryHabitat,SecondaryHabitat,Acres,Miles,Latitude,Longitude,Feet,ID_Number,GeneralHabitat,GeneralActivity,BeforePhotoCredit,BeforePhotoCaption,DuringPhotoCredit,DuringPhotoCaption,AfterPhotoCredit,AfterPhotoCaption,TBEP_Notes
18949,2018,Region 4,FL,Tampa Bay Estuary Program,Gopher Tortoise Habitat Improvement Funding,"Gopher Tortoise Habitat Improvement Funding Sand Scrub and Pine Flatwoods enhancement project located in the City of St. Petersburg.  Prescribed fire in 40 acres of sand pine scrub by third party contractor (high urban interface). Mechanical treatment of hardwoods and sabal palms (20 acres). Selective herbicide treatment of non-native invasive plants, saw palmetto (previously cut by preserve staff) and vines (20 acres) by a third party contractor.  Project benefits include improve water quality and protection/increase of habitats for other wildlife.",Sand Scrub and Pine Flatwoods,Forest/Woodland,Prescribed Burn,,,0,15000,Improve or protect water quality:Protect/improve/provide habitat for other wildlife,Restoration,City of St. Petersburg,,Florida Fish and Wildlife Conservation Commission,City of St. Petersburg,20-SEP-18 01.15.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Uplands (Non-coastal),,40,,27.7245,-82.6503,,,Uplands,Restoration,,,,,,,
18956,2018,Region 4,FL,Tampa Bay Estuary Program,Invasive Plant Removal at Gandy Boat Ramp,Invasive Plant Removal at Gandy Boat Ramp.  A public boat ramp area consisting of estuarine shoreline and invasive plants. Removal of approximately 1 acre of invasive plant Invasive Plant Removal at Gandy Boat Ramp.  A public boat ramp area consisting of estuarine shoreline and invasive plants. Removal of approximately 1 acre of invasive plant species from the shorelines (Brazilian Pepper species from the shorelines (Brazilian Pepper and Lead Trees) in Hillsborough County and the City of Tampa.  Project benefits to improve water quality and provide protection and increase habitat for fish/shellfish. This project effort supports the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats.,A public boat ramp area consisting of estuarine shoreline and invasive plants.,,Invasives Control/Removal - Vegetation,,,0,,,,Hillsborough County,,,,20-SEP-18 01.10.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Intertidal Estuarine (Other),,1,,27.89221,-82.5336,,E-278,Estuarine,Enhancement,,,,,,,
18950,2018,Region 4,FL,Tampa Bay Estuary Program,Invasive Plant and Litter Removal at McKay Bay Nature Park,"Invasive plant and litter removal of 38 acres of mangrove shoreline and mud flats at McKay Bay Nature Park located in Hillsborough County.  Eradicate invasive plant species, remove litter and debris from McKay Bay Nature Park and Preserve. Plant mangroves along shoreline to prevent erosion. Approximately 1,091 volunteers worked to remove 47 tires, 50,320 pounds of trash and debris (including 27,680 pounds of invasive plants) and planted 50 mangroves.  This project effort support the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.",Mangrove shoreline and mud flats,,Invasives Control/Removal - Vegetation,,,0,,,,City of Tampa,,,,20-SEP-18 11.54.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Mangrove Forests,,38,,27.95229,-82.42189,,E-281,Estuarine,Enhancement,,,,,,,
18971,2018,Region 4,FL,Tampa Bay Estuary Program,Invasive Species Control,"Invasive Species Control project of 1200 acres located on MacDill Air Force Base.  There are large tracts of land within the site that have been historically disturbed (former landfill areas) which are highly invaded with Brazilian pepper.  Chemical treatment for maintenance control of Brazilian pepper, lead tree, melaleuca, Australian pine throughout 1,300 acres on the eastern half of the base. Invasive grasses were treated through foliar application, and the tree species were primarily treated through basal bark application to kill the plants in place. Following initial herbicide applications, contractors were responsible to retreat invasive plant species within the project area.",Pine forest areas are largely historic planted pine which has not been managed for timber. Areas of oak hammock and mangrove lined ditches are scattered throughout the pine areas and mangrove estuary predominates along the southern boundary of the site.  There are large tracts of land within the site that have been historically disturbed (former landfill areas) which are highly invaded with Brazilian pepper.,Forest/Woodland,Invasives Control/Removal - Vegetation,,,0,203000,Improve or protect water quality:Protect/improve/provide habitat for other wildlife,Restoration,MacDill Air Force Base,,Department of Defense,MacDill Air Force Base,21-SEP-18 09.16.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Uplands (Non-coastal),,1200,,27.8412,-82.5088,,,Uplands,Restoration,,,,,,,
18969,2018,Region 4,FL,Tampa Bay Estuary Program,Julian B. Lane Riverfront Park,"Julian B. Lane Riverfront Park living shoreline along Hillsborough River existing seawall.  Native stone rip-rap was placed along 232 linear feet/.03 acres of existing seawall to elevation +1.0 to create planting area at upper elevations, and planted wit",Living shoreline along Hillsborough River existing seawall,,,,,0,0,Shoreline Stabilization/Enhancement,,City of Tampa,,,,21-SEP-18 09.22.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Living Shorelines,Living Shorelines,,0.09280303,27.95423,-82.46545,490,SEP-004,Estuarine,Restoration,,,,,,,
19115,2018,Region 4,FL,Tampa Bay Estuary Program,Little Manatee River Preserve,"Little Manatee River Preserve enhancement effort to control/remove vegetation on 330 acres located in Hillsborough County. This nature preserve contains wetlands, uplands and supports habitats for many species of wildlife.","This nature preserve contains wetlands, uplands and supports habitats for many species of wildlife.  This area has been designated a Florida Scenic Birding Trail.",,Invasives Control/Removal - Vegetation,,,0,,,,SWFWMD,,,,02-OCT-18 02.08.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Uplands (Non-coastal),,330,,27.67584,-82.30174,,E-279,Mix (freshwater and upland),Enhancement,,,,,,,
18966,2018,Region 4,FL,Tampa Bay Estuary Program,MacDill AFB Living Shoreline (Phase VI),"The goal of Tampa Bay Watch�s Community Oyster Reef Enhancement Program is to increase the oyster population in Tampa Bay and at the same time, provide habitats for small organisms, prevent erosion, improve water quality and improve fish and wildlife habitats.  The restoration technique for this reef construction project uses natural materials; oyster shells in oyster bags along 126 linear feet of shoreline at MacDill Air Force Base.  The project benefits include erosion control and improved water quality.  The lead implementer of this project is the Tampa Bay Watch, Inc. in partnership with MacDill AFB and the Department of Defense.",Artificial Reefs (oyster shell bags along shoreline),Estuarine Shoreline,Reef Construction - Natural Materials,,Y,0,,Erosion control:Improve or protect water quality,Restoration,"Tampa Bay Watch, Inc.",,Environmental Protection Commission Pollution Recovery Fund,US Department of Defense,28-AUG-18 02.24.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Intertidal Estuarine (Other),Artificial Reefs,,0.023863636,27.831,-82.471,126,,Estuarine,Restoration,,,,,,,
19569,2018,Region 4,FL,Tampa Bay Estuary Program,MacDill AFB Living Shoreline (Phase VI),"The goal of Tampa Bay Watch�s Community Oyster Reef Enhancement Program is to increase the oyster population in Tampa Bay and at the same time, provide habitats for small organisms, prevent erosion, improve water quality and improve fish and wildlife habitats.  The restoration technique for this reef construction project uses natural materials; oyster shells in oyster bags along 126 linear feet of shoreline at MacDill Air Force Base.  The project benefits include erosion control and improved water quality.  The lead implementer of this project is the Tampa Bay Watch, Inc. in partnership with MacDill AFB and the Department of Defense.",artificial reefs (oyster bags placed along the shoreline of the beach),Estuarine Shoreline,Reef Construction - Natural Materials,,,0,75000,Erosion control:Improve or protect water quality:Protect/improve/provide habitat for other wildlife,Restoration,Tampa Bay Watch,,Environmental Protection Commission Pollution Recovery Fund,US Department of Defense,09-OCT-19 11.13.00.000000000 AM -04:00,I think this was a 2018 that didn't get added last year. (10/9/2019 10:58:14 am),,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Intertidal Estuarine (Other),Artificial Reefs,,0.023863636,27.831,-82.471,126,,Estuarine,Restoration,,,,,,,
18965,2018,Region 4,FL,Tampa Bay Estuary Program,MacDill Air Force Base Supplemental Mitigation Oyster Dome Field,"MacDill Air Force Base Supplemental Mitigation Oyster Dome Field Artificial Reefs (.09 acres; 490 linear feet of oyster domes along shoreline) project.  The goal of Tampa Bay Watch�s Community Oyster Reef Enhancement Program is to increase the oyster population in Tampa Bay and at the same time, provide habitats for small organisms, prevent erosion, improve water quality and improve fish and wildlife habitats.  This project effort support the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.",Artificial Reefs (oyster domes along shoreline),Estuarine Shoreline,Shoreline Stabilization/Enhancement,,Y,0,,Erosion control:Improve or protect water quality,Restoration,"Tampa Bay Watch, Inc.",,US Department of Defense,US Department of Defense,20-SEP-18 09.54.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Intertidal Estuarine (Other),Living Shorelines,0.1,0.09280303,27.831,-82.471,490,,Estuarine,Restoration,,,,,,,
19008,2018,Region 4,FL,Tampa Bay Estuary Program,McKay Bay Greenway,"The complete McKay Bay Park and Greenway located in Hillsborough County encompass about 200 acres.  However, this project only encompasses 26 acres of forested/woodland enhancements; removal of invasive vegetation.  Invasive plants were removed/controlled to provide habitat for native plants and wildlife.  This effort supports the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.",The complete McKay Bay Park and Greenway encompass about 200 acres.,,Invasives Control/Removal - Vegetation,,,0,,,,City of Tampa,,,,20-SEP-18 08.46.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Coastal Uplands,,26,,27.95399,-82.41599,,E-280,Upland,Enhancement,,,,,,,
19009,2018,Region 4,FL,Tampa Bay Estuary Program,Pam Callahan Nature Preserve,"Pam Callahan Nature Preserve removal of invasive vegetation located on 22 acres in Hillsborough County.  This is a local park in Riverview, Florida containing several important habitats within roughly 150 acres. Invasive plants were removed/controlled to provide habitat for native plants and wildlife. This project effort support the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.","Local park in Riverview, Florida containing several important habitats within roughly 150 acres.",,Invasives Control/Removal - Vegetation,,,0,,,,Hillsborough County,,,,20-SEP-18 05.34.00.000000000 PM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Uplands (Non-coastal),,22,,27.98148,-82.56686,,E-282,Upland,Enhancement,,,,,,,
18974,2018,Region 4,FL,Tampa Bay Estuary Program,Philippe Park Exotic Treatment,The Philippe Park exotic treatment of 16 acres of unmowed natural areas in the park located in Pinellas County.  Removal of invasive vegetation.  Invasive plants were removed/controlled to provide habitat for native plants and wildlife. Project benefits include water quality improvements as well as protection/improvement for increased habitat for other wildlife.  The site is under maintenance control.  This effort supports the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.,Unmowed natural areas in Philippe Park,,Invasives Control/Removal - Vegetation,,,0,,,,Pinellas County,,,,20-SEP-18 08.38.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Coastal Uplands,,16,,28.0051,-82.67757,,E-283,Upland,Enhancement,,,,,,,
19012,2018,Region 4,FL,Tampa Bay Estuary Program,Redus Preserve,Redus Preserve removal of invasive vegetation on 22 acres located in Hillsborough County. The Redus Preserve parcel is roughly an additional 40 acres in the Little Manatee River watershed.  Invasive plants were removed/controlled to provide habitat for native plants and wildlife.  Project benefits include water quality improvements and protect/provide for increases habitat for other wildlife. This effort supports the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.,The Redus Preserve parcel is roughly an additional 40 acres in the Little Manatee River watershed.,,Invasives Control/Removal - Vegetation,,,0,,,,Hillsborough County,,,,21-SEP-18 08.45.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Uplands (Non-coastal),,22,,27.69314,-82.45188,,E-284,Upland,Enhancement,,,,,,,
18958,2018,Region 4,FL,Tampa Bay Estuary Program,Robinson-Perico Connector Habitat Improvement,Robinson-Perico Connector habitat improvement of mangrove to uplands ecotone of Perico Bayou on 20 acres located in Manatee County.  The project consists of removal of exotic hardwood trees (primarily Brazilian pepper and Australian pines) and replanting with desirable native species.  Project benefits include water quality improvements and protect/provide for increased habitat for other wildlife. This effort supports the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.,Mangrove to Uplands Ecotone of Perico Bayou,Forest/Woodland,Invasives Control/Removal - Vegetation,,,0,50000,Improve or protect water quality:Protect/improve/provide habitat for other wildlife,Restoration,Manatee County Parks and Natural Resources,,Tampa Bay Environmental Restoration Fund,Manatee County Government,21-SEP-18 08.55.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Uplands (Non-coastal),,20,,27.4986,-82.6717,,,Uplands,Restoration,,,,,,,
18961,2018,Region 4,FL,Tampa Bay Estuary Program,Rock Ponds Ecosystem Restoration,Rock Ponds Ecosystem Restoration tidal wetland habitat enhancement of .34 acres in Southern Hillsborough County. Paspalum vaginatum is utilized for shoreline stabilization and habitat enhancement at the project location.  The benefits of this project include erosion control and improve water quality.  This effort supports the Tampa Bay Estuary Program (TBEP) Comprehensive Conservation Management Plan (CCMP) Action; Bay Habitats (BH)-1.,Intertidal wetland habitat in Southern Hillsborough County,,Shoreline Stabilization/Enhancement,,,0,,,,Tampa Bay Watch,,,,21-SEP-18 08.35.00.000000000 AM -04:00,,,APPROVED,APPROVED,,XMCLADAS,misty@tbep.org,Intertidal Estuarine (Other),Living Shorelines,0.34,,27.66515,-82.50943,,E-285,Estuarine,Enhancement,,,,,,,
